tour_food,tour_food_theme,tour_food_tag,tour_food_score,like,zzim,review
국수의전설,서귀포시 > 서귀포시내,#향토음식 #한식 #음식 #비빔국수 #돔베고기 #보말죽 #칼국수,5,9,190,12
맛나식당,서귀포시 > 성산,#음식 #갈치 #제주갈치조림 #고등어 #고등어구이 #막걸리,4,5,203,12
산방식당(모슬포본점),서귀포시 > 대정,#한식 #향토음식 #음식 #냉면 #2022고메페스타,4,6,298,12
피어22,제주시 > 한림,#음식 #전복죽 #감바스 #빵 #딱새우찜 #랍스터 #새우 #문어 #전복 #꽃게 #뿔소라 #라면 #새우라면 #술 #산미구엘,5,8,176,12
한림칼국수,제주시 > 한림,#음식 #닭칼국수 #보말죽 #매생이해물전,5,8,218,11
경미네집(경미휴게소),서귀포시 > 성산,#한식 #음식 #전복죽 #라면 #회덮밥 #덮밥 #해산물 #성게 #멍게 #전복 #문어숙회 #소라 #해삼 #해산물모둠 #소라회 #회,4,2,59,10
국수마당 본점,제주시 > 제주시내,#아강발 #몸국 #음식 #비빔국수 #멸치국수 #콩국수 #만두 #2022고메페스타 #국수 #멸치고기국수 #비빔고기국수 #열무국수 #물만두 #돔베고기,4,5,87,10
국수바다 본점,서귀포시 > 서귀포시내,#비빔국수 #음식 #돔베고기 #밀면 #왕만두 #국수 #수육 #몸국 #만두,4,3,107,10
미친부엌,제주시 > 제주시내,#혼술 #혼밥 #음식 #회 #해산물 #고등어회 #스시 #초밥 #2022고메페스타 #사시미 #모둠회 #모둠사시미 #고등어초회 #연어회 #모듬초밥 #김밥 #짬뽕 #해물짬뽕 #백짬뽕 #소고기숙주볶음 #차슈 #새우튀김우동 #샐러드 #연어샐러드 #크림치즈 #카레 #연어덮밥 #튀김 #소고기튀김 #닭튀김 #치킨가라아게 #칠리새우 #까망베르치즈후라이 #게살고로케 #메로구이 #고등어구이 #계란밥 #주먹밥 #바게트 #술 #사케 #와인 #스파클링,5,8,110,10
유동커피,서귀포시 > 서귀포시내,#스페셜커피 #음식 #아메리카노 #카페라떼 #콜드브루 #에스프레소 #콜드브루라떼 #라떼 #모카라떼 #바닐라라떼 #카라멜라떼 #아이스크림 #스무디 #비엔나커피 #카페모카 #티라미수 #크림라떼 #코코넛라떼 #밀크티 #팥빙수 #녹차팥빙수 #그린티라떼 #아포가토 #모카프라푸치노 #녹차프라푸치노 #요거트 #크로아상,5,2,33,10
교래손칼국수,제주시 > 조천,#바지락칼국수 #음식 #보말칼국수 #닭칼국수 #닭개장칼국수 #무장애관광 #메밀전,4,6,93,9
동복리해녀촌,제주시 > 구좌,#음식 #물회 #한치물회 #전복물회 #문어물회 #소라물회 #고등어구이 #한치 #무장애관광 #해산물 #전복 #회 #생선회 #한치회 #해삼 #낙지 #멍게 #소라 #문어 #국수 #자리물회 #모듬물회 #덮밥 #회덮밥 #매운탕 #고등어조림 #갈치구이 #갈치조림 #성게미역국 #전복뚝배기 #뚝배기 #전복회 #고등어회 #갈치회 #해산물모둠,5,0,53,9
명당양과,제주시 > 제주시내,#쑥찐빵 #우유식빵 #음식 #빵 #밤식빵 #수제마카롱 #생크림케익 #2022고메페스타 #쿠키 #케이크 #크로크무슈 #크로아상 #크림빵 #치즈케이크 #초코케이크 #마들렌 #샌드위치 #옥수수식빵 #고로케 #꽈배기 #에그타르트 #치즈타르트 #잼 #딸기잼,5,19,73,9
복자씨연탄구이,서귀포시 > 성산,#음식 #흑돼지구이 #제주백돼지 #열무국수,4,2,77,9
사형제횟집,제주시 > 한림,#음식 #회 #광어회 #무장애관광 #식당 #다금바리회 #참돔회 #능성어 #황돔회 #모둠회 #해산물 #산낙지 #멍게 #소라 #전복 #갈치조림 #고등어조림 #갈치구이 #고등어구이 #메로구이 #지리탕 #매운탕 #전복죽 #회덮밥 #알밥 #물회 #자리물회 #전복성게물회 #모듬물회 #한치물회,5,3,52,9
양가형제,제주시 > 한경,#음료 #음식 #햄버거 #치즈버거 #감자튀김 #어니언링 #반려동물동반입장 #반려동물 #반려동물동반_식당카페 #불고기버거 #새우버거 #쉐이크 #밀크쉐이크 #술,4,3,60,9
어진이네 횟집,서귀포시 > 서귀포시내,#물회 #음식 #한치물회 #전복물회 #문어물회 #소라물회 #매운탕 #한치 #해물탕 #해삼물회 #갈치구이 #갈치조림 #흑돼지구이 #성게미역국 #몸국 #전복죽 #양념게장 #돌솥밥 #전복돌솥밥 #회무침 #파전 #해물파전 #옥돔구이 #고등어구이 #전복장 #지리탕,4,11,212,9
연미정,제주시 > 구좌,#전복회 #음식 #전복 #전복뚝배기,4,4,62,9
웅스키친,제주시 > 제주시내,#파스타 #음식 #함박스테이크 #크림파스타 #버섯크림파스타 #새우크림파스타 #볼로네제파스타 #푸타네스카스파게티 #새우샌드위치 #버섯샌드위치 #아메리카노 #레몬에이드 #에이드 #유자에이드 #술 #와인 #레드와인 #하우스와인,5,0,36,9
월정리에서브런치,제주시 > 구좌,#브런치 #음식 #샌드위치 #햄버거 #수제버거 #프렌치토스트 #치킨버거 #샐러드 #리코타치즈샐러드 #치킨샐러드 #아이스크림 #에스프레소 #아메리카노 #카페라떼 #카푸치노 #바닐라라떼 #라떼 #에이드 #블루베리레몬에이드 #망고에이드 #유자에이드,4,0,19,9
톰톰카레,제주시 > 구좌,#반반카레 #음식 #카레라이스 #카레덮밥,5,1,54,9
해월정,제주시 > 구좌,#향토음식 #음식 #문어숙회 #해산물 #물회 #전복물회 #칼국수 #모듬물회 #죽 #전 #부추전 #해물전 #회무침 #문어무침 #해물칼국수 #전복 #뿔소라 #소라숙회 #멍게,4,2,126,9
메종드쁘띠푸루,제주시 > 제주시내,#타르트 #음식 #빵 #감바스 #파스타 #크림파스타 #샌드위치 #토스트 #에스프레소 #아메리카노 #카페라떼 #카푸치노 #카라멜마끼아또 #카페모카 #바닐라라떼 #샤케라또 #고구마라떼 #녹차라떼 #밀크티 #초코라떼 #민트초코라떼 #아이스티 #복숭아아이스티 #레몬아이스티 #딸기라떼 #라떼 #스무디 #딸기스무디 #차 #레몬생강차 #오미자차 #국화차 #페퍼민트 #카모마일 #레몬그라스 #홍차 #유자차,5,1,130,8
목포고을,서귀포시 > 서귀포시내,#김치찌개 #음식 #흑돼지 #흑돼지구이 #된장찌개 #2022고메페스타,5,3,59,8
